"divertirsi","to have fun","divertirsi"
"conoscersi","to know each other","conoscersi"
"verso","prep. toward(s); near; about, around","verso"
"pulizia, pulizie","cleaning","pulizia, pulizie"
"complimenti","congratulations","complimenti"
"initziare a + qc","to start sth","initziare a + qc"
"laurearsi","to graduate","laurearsi"
"alzarsi","to get up, stand up","alzarsi"
"rispondere","to answer","rispondere"
"sentirsi","to feel","sentirsi"
"dare","to give","dare"
"sposarsi","to get married","sposarsi"
"lamentarsi","to complain, whine","lamentarsi"
"mese, mesi","month","mese, mesi"
"initziare a fare + qc","to start to sth","initziare a fare + qc"
"annoiarsi","to get bored","annoiarsi"
"dimenticarsi","to forget","dimenticarsi"
"arrabbiarsi","to get angry","arrabbiarsi"
"vestirsi","to get dressed","vestirsi"
"mettersi","to put oneself","mettersi"
"smettere","to quit","smettere"
"trovarsi","to be (find oneself)","trovarsi"
"riposarsi","to rest","riposarsi"
"initziare","to begin, start","initziare"
"lavarsi","to wash onself","lavarsi"
