"leggero, -a",adj. light,"leggero, -a"
"banana, banane",f. banana,"banana, banane"
che cosa,(interog. pron.) what,che cosa
"occhio, occhi",m. eye,"occhio, occhi"
"ombra, ombre","f. shadow; shade; dark, darness","ombra, ombre"
"paura, paure",f. fear,"paura, paure"
"sole, soli",m. sun,"sole, soli"
"pesce, pesci",m. fish,"pesce, pesci"
"spicchio, spicchi",m. clove; segment; piece,"spicchio, spicchi"
fabbrica,f. factory,fabbrica
a,prep. to (indirect object); in; with,a
parlare,to speak,parlare
"albero, alberi",m. tree,"albero, alberi"
"medicina, medicine",f. medicine,"medicina, medicine"
"caldo, -a",adj. warm; hot,"caldo, -a"
cos',(sometimes before a vowel or an h) apocopic form of cosa,cos'
ed,(before vowels) alternative form of e,ed
"dito, diti","m. finger, toe","dito, diti"
"chiuso, -a",adj. closed,"chiuso, -a"
"porta, porte",f. door,"porta, porte"
