"vt. (edificio) to erect; (migliorare) to raise; (aumentare) to increase","elevare; avere elevato"
"vr. to rise","elevarsi; essersi elevato"
"vt. (togliere: macchia, ostacolo, errore) to remove; (scartare: dubbio, ipotesi) to eliminate","eliminare; avere eliminato"
"vt. <eludo> (gen) to evade, elude","eludere; avere eluso"
"vi. <emergo> (venire a galla) to emerge; (risultare) to come out; (eccellere) to stand out","emergere; essere emerso"
"vt. (mandare fuori: luce, radiazione, calore) to emit, (grido, sibilo, suono) to let out","emettere; avere emesso"
"to go in through the door/window","entrare dalla porta/finestra"
"to get into the water","entrare in acqua"
"to go indoors","entrare in casa"
"fig. to get in touch with sb","entrare in contatto con qu"
"vi. (in un luogo) to enter, to go in; (in un gruppo) to join","entrare; essere entrato"
"vt./vi. to exaggerate","esagerare; avere esagerato"
"vt. (studenti) to test; (analizzare: situazione, cause) to study; MED to examine","esaminare; avere esaminato"
"vt. (stressare: persona) to exasperate; (aggravare: pena, sofferenza) to aggravate","esasperare; avere esasperato"
"vr. (arrabbiarsi) to become exasperated","esasperarsi; essersi esasperato"
"vt. <esaurisco> (scorte, risorse) to exhaust, use up; (persona) wear out","esaurire;  avere esaurito"
"vr. <esaurisco> to exhaust o.s., wear o.s. out","esaurirsi; essersi esaurito"
"vt. <escludo> (eliminare: da gara, concorso) to eliminate, (da lista, eccettuare) to exclude","escludere; avere escluso"
"vt. (processo, metodo) to exemplify","esemplificare; avere esemplificato"
"vi. <esisto> (essere) to exist; (esserci) to exist","esistere; essere esistito"
"vt. <esprimo> (approvazione, giudizio, pensiero) to express","esprimere; avere espresso"
"vr. <esprimo> (parlare, manifestarsi) to express o.s.","esprimersi; essersi espresso"
"vi. <sono> (gener) to be; (trovarsi) to be; (costare) to cost; (provenire) to be","essere; essere stato"
"to be bitter about sth","essere amareggiato da qc"
"to love sth","essere appassionato di qc"
"vt. (scansare: pericolo, ostacolo) to avoid","evitare; avere evitato"
"vt. (lavoro, compito) to make easier; COMM (pagamento) to make easy","facilitare; avere facilitato"
"vi. <fallisco> (non riuscire) to fail (in), be unsuccessful (in);  (azienda) to go bankrupt","fallire (in); essere fallito"
"vt. (firma, banconota, quadro) to forge; (notizia) to distort","falsificare; avere falsificato"
"vt. <faccio> (compiere azioni) to do; (ideare: progetto, programma) to make; vi. <faccio> (essere adatto) to do","fare; avere fatto"
"to take a bath","fare il bagno"
"to have breakfast","fare colazione"
"to have a nap","fare un sonnellino"
"to do sb a favor","fare un favore a qu"
"to inform sb of sth","fare sapere qc a qu"
"to show","fare vedere"
"to have breakfast","fare colazione"
"to struggle","fare fatica"
"to have a hard time doing sth","fare fatica a fare qc"
"to make sure","fare in modo"
"to do the shopping (groceries","fare la spesa"
"to play the victim","fare la vittima"
"to do the cleaning","fare le pulizie"
"to pack","fare le valige"
"to work out","fare palestra"
"to be gross; to suck","fare schifo"
"to do the shopping (general","fare shopping"
"to play sports","fare sport"
"to take a bike ride","fare un giro in bicicletta"
"to take a ride by car","fare un giro in macchina"
"to have a dream","fare un sogno"
"to take a trip","fare un viaggio"
"to make a good impression","fare una bella figura"
"to make a bad impression","fare una brutta/cattiva figura"
"to take a walk","fare una passeggiata"
"to take a break","fare una pausa"
"fig. to come to a bad end","fare una brutta fine"
"to keep sb waiting","fare aspettare qn"
"to knock down, drop sth","fare cadere qc"
"to make sb/sth known","fare conoscere qn/qc"
"to make sb say sth","fare dire qc a qn"
"to amuse sb","fare divertire qn"
"to show, let in sth","fare entrare qc"
"to have, make, get sb to do sth","fare fare qc a qn"
"to have, make, get sth done","fare fare qc"
"to have sth cleaned","fare pulire qc"
"to make sb laugh","fare ridere qn"
"to help sb find sth","fare trovare qc a qn"
"to make sth work","fare funzionare qc"
"vi. (affaticarsi) to work hard, toil; (incontrare difficoltà) to struggle","faticare; avere faticato"
"vt. <ferisco> to injure; (offendere) to hurt","ferire; avere ferito"
