"fratello, fratelli","m. brother","fratello, fratelli"
"a","prep. to (indirect object); in; with","a"
"stare","to stay, remain, live, be","stare"
"film, film","m. movie","film, film"
"libro, libri","m. book","libro, libri"
"presto","soon; quickly, fast; early","presto"
"ragazzo/a, ragazzi/e","m./f. boy/girl","ragazzo, ragazzi"
"sconto, sconti","m. discount","sconto, sconti"
"nuovo, -a","adj. new","nuovo, -a"
"caldo, caldi","m. heat","caldo, caldi"
"ombrello, ombrelli","m. umbrella","ombrello, ombrelli"
"hotel","m. inv. hotel","hotel"
"piede, piedi","m. foot","piede, piedi"
"stretto, -a","adj. narrow, tight","stretto, -a"
"sole, soli","m. sun","sole, soli"
"amore, amori","m. love","amore, amori"
"no","no","no"
"cultura, culture","f. culture","cultura, culture"
"vigile, -i","adj. vigilant, watchful","vigile, -i"
"albero, alberi","m. tree","albero, alberi"
"padre, padri","m. father","padre, padri"
"nonna, nonne","f. grandma","nonna, nonne"
"acqua, acque","f. water","acqua, acque"
"alto, -a","adj. tall","alto, -a"
"sporco, sporci","m. dirt, filth","sporco, sporci"
