"pizza, pizze","f. pizza","pizza, pizze"
"figlia, figlie","f. daughter","figlia, figlie"
"dito, diti","m. finger, toe","dito, diti"
"aprire","to open","aprire"
"aglio, agli","m. garlic","aglio, agli"
"piazza, piazze","f. square","piazza, piazze"
"molto, -a","adj. much, many, a lot; great, very","molto, -a"
"stretto, -a","adj. close, narrow, tight","stretto, -a"
"ridere","to laugh","ridere"
"mercato, mercati","m. market","mercato, mercati"
"bagno, bagni","m. bathroom","bagno, bagni"
"sentirsi","to hear, listen to","sentirsi"
"patria, patrie","f. country, birthplace","patria, patrie"
"mese, mesi","m. month","mese, mesi"
"telefonare","to call, phone, telephone","telefonare"
"incontrare","to meet","incontrare"
"stare","to stay, remain, live, be","stare"
"straniero, stranieri","m. foreigner","straniero, stranieri"
"arancia, arance","f. orange","arancia, arance"
"figlio, figli","m. son","figlio, figli"
"sconto, sconti","m. discount, reduction, coupon","sconto, sconti"
"nome, nomi","m. name, first name","nome, nomi"
"vegano, -a","adj. vegan","vegano, -a"
"ed","(before vowels) alternative form of e","ed"
"donna, donne","f. woman, women","donna, donne"
